source_type,timestamp_readable,category,label,model,metric,quant_desc,aw_bits,weight_group,router_weight_group,ose_topk,ose_quant,ose_score,disable_gateup_duquant,tier_quants,tier_fractions,wikitext2,c4,acc_avg,avg_no_obqa,arc_challenge,arc_easy,boolq,openbookqa,piqa,winogrande,status,experiment,source_file,run_log,rank_log
rank_log,2026-07-14 00:13:23,ad_hoc_or_historical_downstream,fp16_olmoe,olmoe,,W16A16 Rw16a16,32,None,None,0,same,smooth_scale,False,,,6.649036884307861,10.863228797912598,0.6490372674122158,0.6896447208946588,0.49658703071672355,0.7706228956228957,0.6954128440366972,0.446,0.7981501632208923,0.6874506708760852,ok_downstream,experiments/fp16_and_qwen_group2048_20260713_234929/fp16_olmoe/olmoe_compat_w16a16_Rw16a16,experiments/fp16_and_qwen_group2048_20260713_234929/fp16_olmoe/olmoe_compat_w16a16_Rw16a16/log_rank0_1783957772.txt,,experiments/fp16_and_qwen_group2048_20260713_234929/fp16_olmoe/olmoe_compat_w16a16_Rw16a16/log_rank0_1783957772.txt
rank_log,2026-07-14 00:50:09,ad_hoc_or_historical_downstream,fp16_qwen,qwen2_moe,,W16A16 Rw16a16,32,None,None,0,same,smooth_scale,False,,,7.217358112335205,9.366020202636719,0.6510942290754975,0.692513074890597,0.44283276450511944,0.7319023569023569,0.7935779816513762,0.444,0.8052230685527747,0.6890292028413575,ok_downstream,experiments/fp16_and_qwen_group2048_20260713_234929/fp16_qwen/Qwen1.5-MoE-A2.7B_w16a16_Rw16a16,experiments/fp16_and_qwen_group2048_20260713_234929/fp16_qwen/Qwen1.5-MoE-A2.7B_w16a16_Rw16a16/log_rank0_1783959207.txt,,experiments/fp16_and_qwen_group2048_20260713_234929/fp16_qwen/Qwen1.5-MoE-A2.7B_w16a16_Rw16a16/log_rank0_1783959207.txt
rank_log,2026-07-19 01:01:07,ad_hoc_or_historical_downstream,output,qwen2_moe,routed_tail,W4A8 Rw8a8,12,2048,2048,64,w8a8,smooth_scale,True,,,8.24215030670166,10.661438941955566,0.6406913268863167,0.68042959226358,0.4274744027303754,0.7222222222222222,0.7767584097859327,0.442,0.8008705114254625,0.6748224151539068,ok_downstream,experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw13,experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw13/output/Qwen1.5-MoE-A2.7B_w4a8_Rw8a8/log_rank0_1784381556.txt,,experiments/qwen_aw11_aw13_routed_tail_downstream_group2048_20260718_174743/aw13/output/Qwen1.5-MoE-A2.7B_w4a8_Rw8a8/log_rank0_1784381556.txt
rank_log,2026-07-14 04:25:47,ad_hoc_or_historical_downstream,qwen_group2048_route_range,qwen2_moe,route_range,W4A8 Rw8a8,12,2048,2048,64,w8a8,smooth_scale,True,,,8.2649507522583,10.713644981384277,0.6370124881671085,0.6764149858005302,0.4300341296928328,0.7184343434343434,0.7709480122324159,0.44,0.7965179542981502,0.6661404893449092,ok_downstream,experiments/fp16_and_qwen_group2048_20260713_234929/qwen_group2048/Qwen1.5-MoE-A2.7B_w4a8_Rw8a8,experiments/fp16_and_qwen_group2048_20260713_234929/qwen_group2048/Qwen1.5-MoE-A2.7B_w4a8_Rw8a8/log_rank0_1783961415.txt,,experiments/fp16_and_qwen_group2048_20260713_234929/qwen_group2048/Qwen1.5-MoE-A2.7B_w4a8_Rw8a8/log_rank0_1783961415.txt
rank_log,2026-07-13 23:39:01,ad_hoc_or_historical_downstream,reproduce_olmoe_691_route_range,olmoe,route_range,W4A8 Rw8a8,12,2048,2048,64,w8a8,smooth_scale,True,,,7.236062049865723,11.504141807556152,0.645297105543848,0.6839565266526176,0.49146757679180886,0.7676767676767676,0.6853211009174311,0.452,0.7894450489662677,0.6858721389108129,ok_downstream,experiments/repro_olmoe_691_20260713_210938/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8,experiments/repro_olmoe_691_20260713_210938/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1783948181.txt,,experiments/repro_olmoe_691_20260713_210938/heteroquant_a8w4/olmoe_compat_w4a8_Rw8a8/log_rank0_1783948181.txt
rank_log,2026-07-15 01:38:34,ad_hoc_ppl_only,output,olmoe,,W4A8 Rw8a8,12,1,1,64,w8a8,smooth_scale,True,,,7.008150577545166,11.252447128295898,,,,,,,,,ok_ppl_only,experiments/metric_ablation_olmoe_ppl_20260714_235211/tail,experiments/metric_ablation_olmoe_ppl_20260714_235211/tail/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784049462.txt,,experiments/metric_ablation_olmoe_ppl_20260714_235211/tail/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784049462.txt
rank_log,2026-07-16 00:37:31,ad_hoc_ppl_only,output,olmoe,route_range,W4A8 Rw8a8,12,1,1,64,w8a8,smooth_scale,True,,,6.954970836639404,11.178303718566895,,,,,,,,,ok_ppl_only,experiments/tier_set_route_range_olmoe_ppl_20260715_222215/5tier_add_w8a8,experiments/tier_set_route_range_olmoe_ppl_20260715_222215/5tier_add_w8a8/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784132197.txt,,experiments/tier_set_route_range_olmoe_ppl_20260715_222215/5tier_add_w8a8/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784132197.txt
rank_log,2026-07-17 11:04:03,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,1,1,64,w8a8,smooth_scale,True,,,6.925682067871094,11.183506965637207,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_1,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784256153.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784256153.txt
rank_log,2026-07-17 13:44:10,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,1024,1024,64,w8a8,smooth_scale,True,,,7.20028829574585,11.403278350830078,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_1024,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_1024/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784265772.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_1024/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784265772.txt
rank_log,2026-07-17 12:35:22,ad_hoc_ppl_only,output,olmoe,routed_tail,W4A8 Rw8a8,12,128,128,64,w8a8,smooth_scale,True,,,7.00529146194458,11.229185104370117,,,,,,,,,ok_ppl_only,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_128,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_128/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784261659.txt,,experiments/group_size_scan_routed_tail_olmoe_ppl_20260717_104032/group_128/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784261659.txt
