variant,repeat,disable_gateup_duquant,moe_outlier_topk,moe_outlier_quant,moe_outlier_score,status,wikitext2,c4,smooth_seconds,duquant_seconds,calibration_seconds,inference_wikitext2_seconds,inference_c4_seconds,elapsed_seconds,plan_path,output_dir,run_log,rank_log
"full_duquant","1","0","0","same","smooth_scale","ok","7.30065393447876","11.562039375305176","41.774393","693.898983","735.685061","215.516188","394.330809","1366","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_1/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784470680.txt"
"no_gateup_no_ose","1","1","0","same","smooth_scale","ok","7.474799633026123","11.700515747070312","41.403423","437.272400","478.683129","181.480213","331.437758","1014","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_1/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784472049.txt"
"ours_ose_w8a8","1","1","64","w8a8","smooth_scale","ok","7.213685989379883","11.451031684875488","43.125305","494.209616","537.346283","255.448376","466.579487","1276","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_w8a8/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_w8a8/repeat_1/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_w8a8/repeat_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784473061.txt"
"ours_ose_fp16","1","1","64","fp16","smooth_scale","ok","7.2250165939331055","11.453522682189941","43.101476","497.114726","540.228571","203.151042","370.557467","1134","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_fp16/repeat_1/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_fp16/repeat_1/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_fp16/repeat_1/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784474337.txt"
"full_duquant","2","0","0","same","smooth_scale","ok","7.30065393447876","11.562039375305176","41.017453","697.375902","738.400285","216.564148","397.457812","1374","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_2/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_2/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_2/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784475471.txt"
"no_gateup_no_ose","2","1","0","same","smooth_scale","ok","7.474799633026123","11.700515747070312","42.074858","445.779115","487.860877","184.564971","337.904302","1027","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_2/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_2/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_2/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784476845.txt"
"ours_ose_w8a8","2","1","64","w8a8","smooth_scale","ok","7.213685989379883","11.451031684875488","41.777357","503.455544","545.239909","260.099964","470.451574","1292","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_w8a8/repeat_2/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_w8a8/repeat_2/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_w8a8/repeat_2/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784477872.txt"
"ours_ose_fp16","2","1","64","fp16","smooth_scale","ok","7.2250165939331055","11.453522682189941","42.251923","486.430063","528.694470","199.390102","364.506291","1111","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_fp16/repeat_2/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_fp16/repeat_2/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/ours_ose_fp16/repeat_2/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784479164.txt"
"full_duquant","3","0","0","same","smooth_scale","ok","7.30065393447876","11.562039375305176","41.685308","691.221786","732.914010","212.028997","388.541267","1353","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_3/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_3/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/full_duquant/repeat_3/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784480275.txt"
"no_gateup_no_ose","3","1","0","same","smooth_scale","ok","7.474799633026123","11.700515747070312","40.639706","433.424519","474.071431","179.590090","329.793542","999","/home/lwk/HeteroQuant_Repro/experiments/remaining_ablation_suite_20260716_210440/component/full_method/plans/moe_quant_plan_routed_tail.json","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_3/output","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_3/run.log","/home/lwk/HeteroQuant_Repro/experiments/gateup_duquant_vs_ose_repeated_olmoe_fixed_20260719_221758/no_gateup_no_ose/repeat_3/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784481628.txt"
