scope,shape_name,M,K,N,num_active_experts,tokens_per_expert,group_size,channels_per_scale,num_weight_scales,weight_scale_reduction_vs_group1,act_scale_mode,num_act_scales,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_group1,max_abs_error,max_rel_error,kernel_name,block_m,block_n,block_k,num_warps,dtype_x,dtype_w,dtype_acc,dtype_y
single_gemm,olmoe_down,8,1024,2048,0,0,1,1,2048,1.000000,per_token,8,0.077865,0.077718,0.079337,0.001789,1.000000,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_down,8,1024,2048,0,0,1,1,2048,1.000000,per_token,8,0.070680,0.070135,0.070743,0.002371,1.000000,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_down,8,1024,2048,0,0,16,16,128,16.000000,per_token,8,0.077687,0.077369,0.078699,0.001510,1.002291,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_down,8,1024,2048,0,0,16,16,128,16.000000,per_token,8,0.070664,0.070196,0.070778,0.000323,1.000226,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_down,8,1024,2048,0,0,32,32,64,32.000000,per_token,8,0.077856,0.077650,0.077996,0.000227,1.000116,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_down,8,1024,2048,0,0,32,32,64,32.000000,per_token,8,0.070176,0.069750,0.070219,0.000248,1.007182,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_down,8,1024,2048,0,0,64,64,32,64.000000,per_token,8,0.078323,0.078119,0.078752,0.000371,0.994152,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_down,8,1024,2048,0,0,64,64,32,64.000000,per_token,8,0.069651,0.069511,0.070190,0.001183,1.014774,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_down,8,1024,2048,0,0,2048,2048,1,2048.000000,per_token,8,0.077797,0.077614,0.077978,0.000424,1.000874,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_down,8,1024,2048,0,0,2048,2048,1,2048.000000,per_token,8,0.070463,0.070126,0.070659,0.000314,1.003080,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
