scope,shape_name,M,K,N,num_active_experts,tokens_per_expert,group_size,channels_per_scale,num_weight_scales,weight_scale_reduction_vs_group1,act_scale_mode,num_act_scales,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_group1,max_abs_error,max_rel_error,kernel_name,block_m,block_n,block_k,num_warps,dtype_x,dtype_w,dtype_acc,dtype_y
single_gemm,olmoe_gate,1,2048,1024,0,0,1,1,1024,1.000000,per_token,1,0.091333,0.090368,0.092299,0.001365,1.000000,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_gate,1,2048,1024,0,0,1,1,1024,1.000000,per_token,1,0.178901,0.173515,0.184288,0.007618,1.000000,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_gate,1,2048,1024,0,0,16,16,64,16.000000,per_token,1,0.194597,0.192320,0.196875,0.003221,0.469344,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_gate,1,2048,1024,0,0,16,16,64,16.000000,per_token,1,0.083083,0.080928,0.085237,0.003047,2.153280,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_gate,1,2048,1024,0,0,2048,1024,1,1024.000000,per_token,1,0.089861,0.088075,0.091648,0.002527,1.016381,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_gate,1,2048,1024,0,0,2048,1024,1,1024.000000,per_token,1,0.175904,0.174208,0.177600,0.002399,1.017038,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_gate,4,2048,1024,0,0,1,1,1024,1.000000,per_token,4,0.089611,0.088608,0.090613,0.001418,1.000000,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_gate,4,2048,1024,0,0,1,1,1024,1.000000,per_token,4,0.185968,0.184000,0.187936,0.002783,1.000000,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_gate,4,2048,1024,0,0,16,16,64,16.000000,per_token,4,0.214939,0.210859,0.219019,0.005770,0.416914,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_gate,4,2048,1024,0,0,16,16,64,16.000000,per_token,4,0.081461,0.080437,0.082485,0.001448,2.282908,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
single_gemm,olmoe_gate,4,2048,1024,0,0,2048,1024,1,1024.000000,per_token,4,0.214571,0.209131,0.220011,0.007693,0.417629,0.000000e+00,0.000000e+00,triton_i8i8_i32_gemm_output_scale,16,64,64,4,int8,int8,int32,float16
epilogue_only,olmoe_gate,4,2048,1024,0,0,2048,1024,1,1024.000000,per_token,4,0.095173,0.086485,0.103861,0.012287,1.954000,0.000000e+00,0.000000e+00,triton_i32_epilogue_output_scale,16,64,64,4,int8,int8,int32,float16
