scope,preset,variant,active_experts,tokens_per_expert,total_routed_tokens,total_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_scatter,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_duquant_twice,delta_over_plain_ms,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
single_expert,olmoe,duquant_once,1,1,1,,2048,1024,64,8,64,128,2,1,0,0.520213,0.498869,0.541557,0.030185,1.000000,,0.244224,2.384186e-07,5.960464e-02,duquant_transform_once+2x_gemm+silu_mul+down_gemm,16,64,64,4,fp16_gemm_fp32_accum
single_expert,olmoe,ours_ose,1,1,1,,2048,1024,64,8,64,128,2,1,0,0.373179,0.373035,0.373323,0.000204,1.394004,,0.097190,1.192093e-07,5.960464e-02,2x_main_gemm+ose_two_proj_add+silu_mul+down_gemm,16,64,64,4,fp16_gemm_fp32_accum
single_expert,olmoe,plain_no_ose,1,1,1,,2048,1024,64,8,64,128,2,1,0,0.275989,0.275616,0.276363,0.000528,1.884905,,0.000000,1.192093e-07,4.166667e-02,2x_gemm+silu_mul+down_gemm,16,64,64,4,fp16_gemm_fp32_accum
single_expert,olmoe,component_duquant_transform,1,1,1,,2048,1024,64,8,64,128,2,1,0,0.216507,0.216331,0.216683,0.000249,2.402754,,-0.059482,0.000000e+00,0.000000e+00,duquant_transform_only,16,64,64,4,fp16_gemm_fp32_accum
single_expert,olmoe,component_ose_branch,1,1,1,,2048,1024,64,8,64,128,2,1,0,0.223440,0.217835,0.229045,0.007927,2.328200,,-0.052549,0.000000e+00,0.000000e+00,ose_two_proj_only,16,64,64,4,fp16_gemm_fp32_accum
moe_layer,olmoe,duquant_once,2,1,2,1,2048,1024,64,8,64,128,2,1,1,0.849557,0.618283,1.080832,0.327072,1.000000,,0.423210,2.344605e-07,7.888385e-02,duquant_transform_once+2x_gemm+silu_mul+down_gemm,16,64,64,4,fp16_gemm_fp32_accum
moe_layer,olmoe,ours_ose,2,1,2,1,2048,1024,64,8,64,128,2,1,1,0.785035,0.778901,0.791168,0.008674,1.082190,,0.358688,1.026347e-07,5.131642e-02,2x_main_gemm+ose_two_proj_add+silu_mul+down_gemm,16,64,64,4,fp16_gemm_fp32_accum
moe_layer,olmoe,plain_no_ose,2,1,2,1,2048,1024,64,8,64,128,2,1,1,0.426347,0.399317,0.453376,0.038225,1.992642,,0.000000,8.455390e-08,2.593482e-02,2x_gemm+silu_mul+down_gemm,16,64,64,4,fp16_gemm_fp32_accum
moe_layer,olmoe,component_duquant_transform,2,1,2,1,2048,1024,64,8,64,128,2,1,1,0.226491,0.217547,0.235435,0.012649,3.750953,,-0.199856,0.000000e+00,0.000000e+00,duquant_transform_only,16,64,64,4,fp16_gemm_fp32_accum
moe_layer,olmoe,component_ose_branch,2,1,2,1,2048,1024,64,8,64,128,2,1,1,0.100432,0.097525,0.103339,0.004111,8.459027,,-0.325915,0.000000e+00,0.000000e+00,ose_two_proj_only,16,64,64,4,fp16_gemm_fp32_accum
