preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
olmoe,component_gateup_duquant_transform,1,1,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.207700,0.207688,0.212624,0.005364,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,1,1,1,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098021,0.097870,0.098873,0.015148,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,1,2,2,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.213708,0.210481,0.315483,0.061954,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,1,2,2,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098851,0.098441,0.102328,0.018810,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,1,4,4,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.205419,0.205413,0.205904,0.004868,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,1,4,4,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098238,0.097831,0.098713,0.000809,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,1,8,8,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.206365,0.205158,0.214231,0.006112,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,1,8,8,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.099709,0.098658,0.197367,0.056726,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,1,16,16,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.204572,0.204426,0.289637,0.049737,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,1,16,16,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098219,0.097886,0.098761,0.012026,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,1,32,32,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.207105,0.206787,0.207130,0.004819,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,1,32,32,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.097605,0.097529,0.098099,0.002325,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,8,1,8,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.204268,0.204231,0.204446,0.000364,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,8,1,8,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.097363,0.097312,0.098787,0.009822,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,8,2,16,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.205670,0.205636,0.206452,0.005710,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,8,2,16,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098046,0.097930,0.098279,0.013226,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,8,4,32,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.206371,0.206283,0.207028,0.000505,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,8,4,32,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.099294,0.098957,0.099850,0.012615,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,8,8,64,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.205597,0.205033,0.205670,0.012855,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,8,8,64,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098858,0.098265,0.101333,0.019161,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,8,16,128,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.208070,0.206694,0.211367,0.014918,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,8,16,128,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098552,0.098384,0.100144,0.007790,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,8,32,256,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.204894,0.204669,0.218203,0.016309,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,8,32,256,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.100866,0.099133,0.102645,0.034244,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,16,1,16,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.210369,0.209590,0.220388,0.010220,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,16,1,16,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.100652,0.099744,0.100868,0.000830,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,16,2,32,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.225494,0.206472,0.238500,0.030358,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,16,2,32,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098224,0.098216,0.098578,0.006143,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,16,4,64,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.209660,0.208671,0.209934,0.010810,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,16,4,64,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.097979,0.097924,0.098309,0.016820,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,16,8,128,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.207159,0.206020,0.207313,0.008750,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,16,8,128,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.100236,0.099227,0.100410,0.006208,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,16,16,256,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.205270,0.205133,0.205493,0.000566,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,16,16,256,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.098052,0.097697,0.098065,0.008587,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,16,32,512,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.204513,0.204454,0.204787,0.000310,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,16,32,512,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.100025,0.098950,0.101109,0.004197,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,64,1,64,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.208443,0.206793,0.227525,0.015661,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_ose_w8a8_branch,64,1,64,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.099241,0.098622,0.099339,0.000615,,,0.000000e+00,0.000000e+00,ose_w8a8_two_proj_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,component_gateup_duquant_transform,64,2,128,2048,1024,64,8,64,2048,1,1024,2048,128,2,1,1,0.206991,0.206799,0.207059,0.000221,,,0.000000e+00,0.000000e+00,gateup_duquant_transform_only,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
