active_experts,tokens_per_expert,total_tokens,duquant_once_ms,plain_no_ose_ms,ours_ose_w8a8_ms,ours_speedup_vs_duquant_once,duquant_std_ms,ours_std_ms,note
8,1,1,1.050213,0.841198,0.941594,1.115357,0.012841,0.024465,stable_speedup
8,2,2,1.042830,0.833678,0.940187,1.109173,0.005520,0.017981,stable_speedup
8,4,4,1.048872,0.834444,0.947527,1.106957,0.010613,0.025530,stable_speedup
8,8,8,1.028798,0.828908,0.935847,1.099323,0.003068,0.027144,stable_speedup
8,16,16,1.041623,0.829275,0.943481,1.104021,0.001670,0.012664,stable_speedup
8,32,32,1.038002,0.808102,0.939140,1.105269,0.006413,0.015221,stable_speedup
16,1,2,1.045443,0.834831,0.929837,1.124329,0.010441,0.014607,stable_speedup
16,2,4,1.040666,0.850192,0.942525,1.104126,0.012736,0.020334,stable_speedup
16,4,8,1.066612,0.820217,0.950368,1.122315,0.020228,0.016256,stable_speedup
16,8,16,1.031836,0.823459,0.944636,1.092311,0.013702,0.013746,stable_speedup
16,16,32,1.054433,0.824979,0.953291,1.106098,0.050064,0.015929,stable_speedup
16,32,64,1.040057,0.834995,1.186876,0.876298,0.012851,0.172603,ours_slower; high_variance
64,1,8,1.285579,1.225669,1.243648,1.033716,0.102037,0.099438,near_tie; high_variance
64,2,16,1.285461,1.169662,1.266345,1.015095,0.194693,0.100844,near_tie; high_variance
64,4,32,1.257747,1.207657,1.379021,0.912058,0.076764,0.044894,ours_slower
64,8,64,1.305131,1.279754,1.341225,0.973089,0.083966,0.101375,near_tie; high_variance
64,16,128,1.194541,1.116459,1.406293,0.849425,0.000543,0.102579,ours_slower; high_variance
64,32,256,1.669770,1.470013,1.584817,1.053604,0.072222,0.082948,stable_speedup; high_variance
