preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
olmoe,duquant_once,1,1,1,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.843750,0.841870,0.845509,0.046600,1.000000,0.751420,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,1,1,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.634011,0.632937,0.634223,0.014520,1.330813,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,1,1,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.738023,0.737938,0.739710,0.007282,1.143257,0.859067,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,2,2,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.839441,0.838433,0.840457,0.001150,1.000000,0.758511,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,2,2,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.636725,0.633248,0.729896,0.127733,1.318373,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,2,2,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.734057,0.733810,0.734679,0.001500,1.143564,0.867405,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,4,4,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.840262,0.840218,0.842184,0.001190,1.000000,0.751536,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,plain_no_ose,1,4,4,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.631487,0.630765,0.633353,0.003929,1.330609,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,ours_ose_w8a8,1,4,4,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.738848,0.738659,0.739922,0.001068,1.137260,0.854691,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
olmoe,duquant_once,1,8,8,2048,1024,64,8,64,1,1,1,1,128,2,1,1,0.845990,0.845480,0.849637,0.003670,1.000000,0.754942,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
