preset,variant,active_experts,tokens_per_expert,total_routed_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype,routed_token_experts,main_gemm_macs,gateup_duquant_transform_macs,common_down_duquant_transform_macs,ose_branch_macs,total_online_macs_current_layout,total_online_ops_mac2_current_layout,effective_tops_mac2_current_layout,compact_ours_total_macs_if_split_main_columns,duplicate_ose_extra_macs_current_layout,duquant_unique_overhead_macs_per_routed_token,ose_unique_overhead_macs_per_routed_token,unique_overhead_reduction_duquant_vs_ose,estimated_kernel_launches,main_qparam_groups_per_expert,main_qparam_groups_active_experts,main_qparam_groups_all_model_experts,main_qparam_bytes_active_experts,main_qparam_bytes_all_model_experts,main_qparam_reduction_vs_per_channel,main_int8_weight_bytes_per_expert,ose_duplicate_int8_weight_bytes_per_expert_current_layout,ose_duplicate_weight_overhead_ratio_current_layout
olmoe,duquant_once,1,1,1,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.872496,0.871391,0.875864,0.177788,1.000000,0.732532,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,7077888,14155776,0.016224,6553600,0,524288,131072,4.000000,12,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,1,1,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.639131,0.638837,0.639412,0.000690,1.365129,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,6553600,13107200,0.020508,6553600,0,524288,131072,4.000000,9,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,1,1,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.743031,0.742443,0.743197,0.000454,1.174239,0.860167,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,131072,6684672,13369344,0.017993,6553600,131072,524288,131072,4.000000,10,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,duquant_once,1,2,2,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.849767,0.849446,0.863908,0.108958,1.000000,0.749328,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,14155776,28311552,0.033317,13107200,0,524288,131072,4.000000,12,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,2,2,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.636754,0.635888,0.636768,0.002223,1.334530,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,13107200,26214400,0.041169,13107200,0,524288,131072,4.000000,9,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,2,2,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.738255,0.737243,0.739156,0.001593,1.151048,0.862512,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,262144,13369344,26738688,0.036219,13107200,262144,524288,131072,4.000000,10,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,duquant_once,1,4,4,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.850734,0.849930,0.851276,0.001624,1.000000,0.754506,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,28311552,56623104,0.066558,26214400,0,524288,131072,4.000000,12,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,plain_no_ose,1,4,4,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.641884,0.640835,0.642931,0.029389,1.325370,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,26214400,52428800,0.081680,26214400,0,524288,131072,4.000000,9,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,ours_ose_w8a8,1,4,4,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.739552,0.737503,0.740846,0.003301,1.150337,0.867936,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,524288,26738688,53477376,0.072311,26214400,524288,524288,131072,4.000000,10,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
olmoe,duquant_once,1,8,8,2048,1024,64,8,64,16,1,16,16,128,2,1,1,0.850956,0.850297,0.852155,0.001144,1.000000,0.755910,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,8,50331648,4194304,2097152,1048576,56623104,113246208,0.133081,52428800,0,524288,131072,4.000000,12,256,256,16384,1024,65536,16.000000,6291456,131072,0.020833
