scope,preset,variant,active_experts,tokens_per_expert,total_routed_tokens,total_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype
routed_moe_layer,olmoe,duquant_once,1,1,1,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.056103,1.054416,1.059876,0.010397,1.000000,0.794790,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,1,1,1,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.839380,0.836856,0.841357,0.011164,1.258194,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,1,1,1,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.944824,0.943319,0.945714,0.019111,1.117777,0.888398,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,duquant_once,1,2,2,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.057565,1.052334,1.066762,0.012218,1.000000,0.796796,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,1,2,2,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.842664,0.842180,0.843640,0.004080,1.255026,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,1,2,2,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.939263,0.938092,0.939536,0.008423,1.125952,0.897154,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,duquant_once,1,4,4,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.055824,1.051385,1.058021,0.004858,1.000000,0.798637,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,1,4,4,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.843220,0.841911,0.843715,0.003673,1.252133,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,1,4,4,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.948750,0.948070,0.949844,0.006317,1.112858,0.888769,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,duquant_once,1,8,8,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.062424,1.052431,1.070555,0.012836,1.000000,0.791428,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,1,8,8,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.840832,0.840688,0.841052,0.001633,1.263539,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,ours_ose_w8a8,1,8,8,1,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.950538,0.947017,0.962160,0.024213,1.117708,0.884585,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,duquant_once,1,16,16,2,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,1.059133,1.055900,1.059578,0.007106,1.000000,0.788472,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
routed_moe_layer,olmoe,plain_no_ose,1,16,16,2,2048,1024,64,8,256,2048,1,1024,2048,128,2,1,1,0.835097,0.831643,0.837090,0.009530,1.268275,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output
