scope,preset,variant,active_experts,tokens_per_expert,total_routed_tokens,total_tokens,hidden_size,intermediate_size,num_experts_model,top_k_model,ose_topk,main_weight_group_size,ose_weight_group_size,gate_channels_per_scale,down_channels_per_scale,duquant_block_size,duquant_rotation_stages,include_duquant_permutation,include_down_duquant_transform,latency_ms,latency_q20_ms,latency_q80_ms,latency_std_ms,speedup_over_duquant_once,speedup_over_plain_no_ose,max_abs_error,max_rel_error,kernel_sequence,block_m,block_n,block_k,num_warps,dtype,routed_token_experts,main_gemm_macs,gateup_duquant_transform_macs,common_down_duquant_transform_macs,ose_branch_macs,total_online_macs_current_layout,total_online_ops_mac2_current_layout,effective_tops_mac2_current_layout,compact_ours_total_macs_if_split_main_columns,duplicate_ose_extra_macs_current_layout,duquant_unique_overhead_macs_per_routed_token,ose_unique_overhead_macs_per_routed_token,unique_overhead_reduction_duquant_vs_ose,estimated_kernel_launches,main_qparam_groups_per_expert,main_qparam_groups_active_experts,main_qparam_groups_all_model_experts,main_qparam_bytes_active_experts,main_qparam_bytes_all_model_experts,main_qparam_reduction_vs_per_channel,main_int8_weight_bytes_per_expert,ose_duplicate_int8_weight_bytes_per_expert_current_layout,ose_duplicate_weight_overhead_ratio_current_layout
routed_moe_layer,olmoe,duquant_once,1,1,1,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,1.057036,1.053798,1.057287,0.009758,1.000000,0.793857,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,65536,7077888,14155776,0.013392,6553600,0,524288,65536,8.000000,12,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,plain_no_ose,1,1,1,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.839135,0.838117,0.840018,0.012962,1.259673,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,65536,6553600,13107200,0.015620,6553600,0,524288,65536,8.000000,9,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,ours_ose_w8a8,1,1,1,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.952772,0.942174,0.977943,0.057804,1.109432,0.880730,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,1,6291456,524288,262144,65536,6619136,13238272,0.013894,6553600,65536,524288,65536,8.000000,10,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,duquant_once,1,2,2,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,1.062983,1.054395,1.065379,0.008379,1.000000,0.801461,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,131072,14155776,28311552,0.026634,13107200,0,524288,65536,8.000000,12,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,plain_no_ose,1,2,2,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.851939,0.837789,0.858466,0.011520,1.247722,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,131072,13107200,26214400,0.030770,13107200,0,524288,65536,8.000000,9,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,ours_ose_w8a8,1,2,2,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.954831,0.946615,0.959998,0.013150,1.113268,0.892241,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,2,12582912,1048576,524288,131072,13238272,26476544,0.027729,13107200,131072,524288,65536,8.000000,10,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,duquant_once,1,4,4,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,1.160641,1.097470,1.222883,0.150496,1.000000,0.913830,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,262144,28311552,56623104,0.048786,26214400,0,524288,65536,8.000000,12,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,plain_no_ose,1,4,4,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,1.060629,1.026951,1.111092,0.074280,1.094295,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,262144,26214400,52428800,0.049432,26214400,0,524288,65536,8.000000,9,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,ours_ose_w8a8,1,4,4,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.951464,0.947547,0.967102,0.149709,1.219848,1.114734,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,4,25165824,2097152,1048576,262144,26476544,52953088,0.055654,26214400,262144,524288,65536,8.000000,10,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,duquant_once,1,8,8,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,1.052964,1.044619,1.078722,0.183097,1.000000,0.793904,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,8,50331648,4194304,2097152,524288,56623104,113246208,0.107550,52428800,0,524288,65536,8.000000,12,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,plain_no_ose,1,8,8,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.835952,0.834466,0.838530,0.003326,1.259599,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,8,50331648,4194304,2097152,524288,52428800,104857600,0.125435,52428800,0,524288,65536,8.000000,9,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,ours_ose_w8a8,1,8,8,1,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.939268,0.938452,0.940810,0.002121,1.121047,0.890004,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,8,50331648,4194304,2097152,524288,52953088,105906176,0.112754,52428800,524288,524288,65536,8.000000,10,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,duquant_once,1,16,16,2,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,1.046416,1.045600,1.046563,0.037823,1.000000,0.798644,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,16,100663296,8388608,4194304,1048576,113246208,226492416,0.216446,104857600,0,524288,65536,8.000000,12,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,plain_no_ose,1,16,16,2,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.835714,0.835468,0.836538,0.001857,1.252122,1.000000,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,16,100663296,8388608,4194304,1048576,104857600,209715200,0.250941,104857600,0,524288,65536,8.000000,9,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,ours_ose_w8a8,1,16,16,2,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,0.931517,0.930258,0.935944,0.008817,1.123346,0.897154,0.000000e+00,0.000000e+00,dyn_quant+2x_i8_main_gemm+ose_w8a8_two_proj+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,16,100663296,8388608,4194304,1048576,105906176,211812352,0.227384,104857600,1048576,524288,65536,8.000000,10,3,3,192,12,768,1365.333333,6291456,65536,0.010417
routed_moe_layer,olmoe,duquant_once,1,32,32,4,2048,1024,64,8,32,2048,1,1024,2048,128,2,1,1,1.038474,1.037656,1.038948,0.003561,1.000000,0.797490,0.000000e+00,0.000000e+00,gateup_duquant_once+dyn_quant+2x_i8_gemm+silu+common_down,16,64,64,4,w8a8_int8_gemm_fp32_accum_fp16_output,32,201326592,16777216,8388608,2097152,226492416,452984832,0.436202,209715200,0,524288,65536,8.000000,12,3,3,192,12,768,1365.333333,6291456,65536,0.010417
