Method,MAC_per_routed_token_expert,E=1 Med ms,E=8 Med ms,E=16 Med ms,E=64 Med ms
DuQuant (k=16 ref),7077888,1.054320,1.050325,1.049818,1.239766
Ours k=16,6586368,0.938894,0.946224,0.939239,1.158314
DuQuant (k=32 ref),7077888,1.055000,1.050276,1.052031,1.134491
Ours k=32,6619136,0.946873,0.939538,0.946838,1.198440
DuQuant (k=64 ref),7077888,1.053456,1.058511,1.058733,1.187548
Ours k=64,6684672,0.947638,0.949669,0.950551,1.111277
DuQuant (k=128 ref),7077888,1.055219,1.065265,1.065277,1.247887
Ours k=128,6815744,0.953884,0.952134,0.954611,1.256422
DuQuant (k=256 ref),7077888,1.057313,1.058203,1.052219,1.244879
Ours k=256,7077888,0.943697,0.948308,0.945815,1.304361
