ose_topk,active_experts,tokens_per_expert,total_tokens,duquant_once_ms,ours_ose_w8a8_ms,speedup_over_duquant_once,ours_latency_std_ms
16,16,4,8,1.050186,1.303924,0.805404,0.281829
16,64,16,128,1.289164,1.294509,0.995871,0.074857
32,16,2,4,1.052692,1.294591,0.813146,0.228110
32,64,1,8,1.075538,1.153211,0.932646,0.160702
32,64,2,16,1.091818,1.225316,0.891050,0.257603
32,64,8,64,1.153481,1.250208,0.922631,0.099402
32,64,32,256,1.443144,1.470807,0.981192,0.084299
128,16,1,2,1.095410,1.130897,0.968620,0.119243
128,64,1,8,1.109123,1.162056,0.954449,0.045139
128,64,2,16,1.160275,1.169907,0.991767,0.069197
128,64,4,32,1.200355,1.249296,0.960825,0.125797
128,64,16,128,1.295419,1.303430,0.993854,0.059615
256,64,1,8,1.068678,1.197760,0.892230,0.015981
256,64,4,32,1.205021,1.256407,0.959101,0.056538
256,64,8,64,1.274804,1.352315,0.942683,0.135826
256,64,16,128,1.431713,1.459148,0.981198,0.049306
256,64,32,256,1.572815,1.696353,0.927174,0.089940
