ose_topk,active_experts,tokens_per_expert,total_tokens,duquant_once_ms,plain_no_ose_ms,ours_ose_w8a8_ms,speedup_over_duquant_once,ours_latency_std_ms
16,1,1,1,1.052243,0.834933,0.943501,1.115254,0.012539
16,1,2,1,1.056397,0.836478,0.933827,1.131256,0.003980
16,1,4,1,1.057148,0.837747,0.943844,1.120045,0.245778
16,1,8,1,1.096103,0.830515,0.946179,1.158452,0.007943
16,1,16,2,1.048732,0.830685,0.934287,1.122494,0.004152
16,1,32,4,1.050272,0.826032,0.932826,1.125903,0.008219
16,8,1,1,1.053463,0.831147,0.941438,1.118993,0.003099
16,8,2,2,1.091288,0.872664,1.085788,1.005065,0.076098
16,8,4,4,1.290864,0.822944,1.071962,1.204207,0.159145
16,8,8,8,1.045536,0.839111,0.938584,1.113950,0.004397
16,8,16,16,1.043230,0.838709,0.951010,1.096971,0.013930
16,8,32,32,1.047187,0.839500,0.936638,1.118027,0.003288
16,16,1,2,1.050130,0.846215,0.937346,1.120323,0.014222
16,16,2,4,1.046400,0.831743,0.953500,1.097431,0.062358
16,16,4,8,1.050186,0.837825,1.303924,0.805404,0.281829
16,16,8,16,1.049506,0.834021,0.937687,1.119250,0.022893
16,16,16,32,1.052638,0.828970,0.936799,1.123654,0.005348
16,16,32,64,1.045954,0.834283,0.940791,1.111781,0.161378
16,64,1,8,1.159281,1.116389,1.120470,1.034638,0.056448
16,64,2,16,1.163866,1.115429,1.114534,1.044262,0.010342
16,64,4,32,1.193732,1.124390,1.146247,1.041426,0.031663
16,64,8,64,1.285801,1.164516,1.170381,1.098617,0.012672
16,64,16,128,1.289164,1.225860,1.294509,0.995871,0.074857
16,64,32,256,1.572113,1.374793,1.470475,1.069119,0.053519
32,1,1,1,1.057036,0.839135,0.952772,1.109432,0.057804
32,1,2,1,1.062983,0.851939,0.954831,1.113268,0.013150
32,1,4,1,1.160641,1.060629,0.951464,1.219848,0.149709
32,1,8,1,1.052964,0.835952,0.939268,1.121047,0.002121
32,1,16,2,1.046416,0.835714,0.931517,1.123346,0.008817
32,1,32,4,1.038474,0.828173,0.942281,1.102085,0.015848
32,8,1,1,1.043061,0.837230,0.942919,1.106204,0.037560
32,8,2,2,1.065742,0.869260,0.942623,1.130613,0.319448
32,8,4,4,1.049215,0.836837,0.933914,1.123460,0.004352
32,8,8,8,1.038858,0.829567,0.935821,1.110103,0.008156
32,8,16,16,1.051337,0.829125,0.939540,1.118991,0.066475
32,8,32,32,1.061770,0.835405,0.939535,1.130102,0.002711
32,16,1,2,1.132778,0.821443,0.954956,1.186210,0.025674
32,16,2,4,1.052692,0.834964,1.294591,0.813146,0.228110
32,16,4,8,1.045363,0.829711,0.948101,1.102586,0.009317
32,16,8,16,1.051370,0.828231,0.935455,1.123913,0.004581
32,16,16,32,1.053249,0.840849,0.932713,1.129232,0.030786
32,16,32,64,1.045831,0.836117,0.945576,1.106025,0.029640
32,64,1,8,1.075538,1.031389,1.153211,0.932646,0.160702
32,64,2,16,1.091818,1.043922,1.225316,0.891050,0.257603
32,64,4,32,1.115500,1.044288,1.062533,1.049850,0.014993
32,64,8,64,1.153481,1.087541,1.250208,0.922631,0.099402
32,64,16,128,1.529455,1.164662,1.171563,1.305483,0.053035
32,64,32,256,1.443144,1.266955,1.470807,0.981192,0.084299
64,1,1,1,1.063691,0.842192,0.949388,1.120397,0.004190
64,1,2,1,1.054180,0.839722,0.941001,1.120275,0.184551
64,1,4,1,1.052731,0.839344,0.949612,1.108591,0.012739
