group_size,topk,metric,tier_quants,tier_fractions,moe_outlier_quant,moe_outlier_score,router_weight_channel_group_size,actual_avg_sum_bits,status,wikitext2,c4,calibration_seconds,duquant_seconds,inference_wikitext2_seconds,inference_c4_seconds,plan_path,output_dir,plan_log,run_log,rank_log
"1","0","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","1","12.0","ok","7.0521626472473145","11.29715633392334","487.570527","444.517832","184.962720","338.841960","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_0/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_0/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_0/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784648230.txt"
"1","16","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","1","12.0","ok","6.950388431549072","11.187944412231445","540.603811","498.079858","260.838152","474.747480","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_16/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_16/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784649258.txt"
"1","32","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","1","12.0","ok","6.930393218994141","11.173038482666016","554.158929","504.470313","264.657559","483.790383","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_32/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_32/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_32/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784650571.txt"
"1","64","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","1","12.0","ok","6.9023637771606445","11.131814002990723","534.733228","492.769253","254.814239","466.420435","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_64/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_64/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_64/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784651903.txt"
"1","128","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","1","12.0","ok","6.8968281745910645","11.124725341796875","530.448026","489.498897","255.458302","465.079660","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_128/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_128/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_128/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784653176.txt"
"1","256","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","1","12.0","ok","6.880803108215332","11.115901947021484","538.740687","495.793728","255.876222","466.944264","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_256/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_256/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_1/topk_256/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784654443.txt"
"16","0","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","16","12.0","ok","7.099470138549805","11.363631248474121","491.258579","447.296731","185.296586","338.360918","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_0/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_0/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_0/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784655823.txt"
"16","16","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","16","12.0","ok","6.970780849456787","11.21788215637207","534.602692","492.645244","260.936619","475.000916","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_16/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_16/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_16/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784656855.txt"
"16","32","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","16","12.0","ok","6.949029922485352","11.190271377563477","532.315218","489.883022","254.619037","463.717563","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_32/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_32/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_32/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784658142.txt"
"16","64","route_range","w4g-1-a4g-1,w5g-1-a8g-1,w6g-1-a8g-1","0.234375,0.59375,0.171875","w8a8","smooth_scale","16","12.0","ok","6.920201301574707","11.163069725036621","534.911436","493.650020","255.195065","467.176439","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plans/moe_quant_plan_routed_range.json","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_64/output","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/plan.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_64/run.log","/home/lwk/HeteroQuant_Repro/experiments/route_range_topk_group_ablation_olmoe_ppl_20260721_233425/group_16/topk_64/output/olmoe_compat_w4a8_Rw8a8/log_rank0_1784659410.txt"
