layer,cv,model
0,0.5401617664425918,OLMoE
1,0.40480878070301535,OLMoE
2,0.3882567594826135,OLMoE
3,0.4685045233823676,OLMoE
4,0.5613296089886283,OLMoE
5,0.5643102489847198,OLMoE
6,0.6275541052370414,OLMoE
7,0.5293027076731764,OLMoE
8,0.5300902215647657,OLMoE
9,0.48558987625734834,OLMoE
10,0.46578606772774,OLMoE
11,0.47991139133898575,OLMoE
12,0.5074764829183724,OLMoE
13,0.44871489706488493,OLMoE
14,0.5153433601100281,OLMoE
15,0.5863044090886657,OLMoE
0,0.2523293102868302,Qwen-MoE
1,0.31580844291257143,Qwen-MoE
2,0.33073299427569963,Qwen-MoE
3,0.2991840203432404,Qwen-MoE
4,0.3095388525552085,Qwen-MoE
5,0.2589927113257285,Qwen-MoE
6,0.27569965137851715,Qwen-MoE
7,0.2695788412783971,Qwen-MoE
8,0.28202344629686377,Qwen-MoE
9,0.2951822342462471,Qwen-MoE
10,0.25804731227656585,Qwen-MoE
11,0.2860328946893934,Qwen-MoE
12,0.30263381319098465,Qwen-MoE
13,0.2774682218618676,Qwen-MoE
14,0.28670377829668864,Qwen-MoE
15,0.26606228585630315,Qwen-MoE
16,0.34514797937626013,Qwen-MoE
17,0.3318797611927031,Qwen-MoE
18,0.35627284365885004,Qwen-MoE
19,0.3496438015895937,Qwen-MoE
20,0.4050894524935181,Qwen-MoE
21,0.4340415703092992,Qwen-MoE
22,0.43586206471148264,Qwen-MoE
23,0.5872499214554321,Qwen-MoE
