layer,top10_mean,bottom10_mean,top10_bottom10_gap,model
0,1.870332337529278,0.3330232030336766,1.5373091344956014,OLMoE
1,1.701624275121458,0.5132541279801348,1.1883701471413233,OLMoE
2,1.6269916078938014,0.42924215618538836,1.197749451708413,OLMoE
3,1.7773352082084095,0.28867093011045275,1.4886642780979567,OLMoE
4,1.9251417635594201,0.2335149489103438,1.6916268146490763,OLMoE
5,2.033561843715132,0.30719508087151726,1.726366762843615,OLMoE
6,1.9397346487681602,0.19881367900483587,1.7409209697633243,OLMoE
7,1.8616971612498532,0.2670678812050903,1.5946292800447628,OLMoE
8,1.8824427581199832,0.24578417149897178,1.6366585866210115,OLMoE
9,1.7332828479762246,0.28540148087306905,1.4478813671031556,OLMoE
10,1.756553418612489,0.32825657670464736,1.4282968419078417,OLMoE
11,1.7492985518559976,0.2962214636238011,1.4530770882321966,OLMoE
12,1.7838308552464266,0.36721307418793453,1.4166177810584921,OLMoE
13,1.7045447822944528,0.37639072096303017,1.3281540613314227,OLMoE
14,1.8334303984828417,0.2977726549527119,1.53565774353013,OLMoE
15,1.9284600815855775,0.2450219475683022,1.6834381340172753,OLMoE
0,1.2955563235824583,0.5838597780893391,0.7116965454931192,Qwen
1,1.482470312835666,0.5491172741537309,0.9333530386819351,Qwen
2,1.5631357130212065,0.5802887152561769,0.9828469977650296,Qwen
3,1.4612439715159284,0.600115415721186,0.8611285557947425,Qwen
4,1.5359898917809607,0.6115679813604669,0.9244219104204938,Qwen
5,1.4223116701827792,0.638199806746191,0.7841118634365881,Qwen
6,1.427207721817131,0.6171291160483171,0.810078605768814,Qwen
7,1.4760752391999548,0.6492170505549055,0.8268581886450492,Qwen
8,1.4577077428030685,0.6266630070089955,0.831044735794073,Qwen
9,1.4882469361553166,0.5999169539910539,0.8883299821642626,Qwen
10,1.4115797023436376,0.6334014708551349,0.7781782314885027,Qwen
11,1.4866678584547586,0.6192386143032351,0.8674292441515234,Qwen
12,1.4932100414091283,0.5541097095401206,0.9391003318690077,Qwen
13,1.481508096697088,0.6087764123086156,0.8727316843884724,Qwen
14,1.4465656402279554,0.5791726461896817,0.8673929940382737,Qwen
15,1.431357479420152,0.6352205557916135,0.7961369236285385,Qwen
16,1.5731972062523443,0.5454826467352001,1.0277145595171442,Qwen
17,1.5784350845519086,0.5846816864065406,0.993753398145368,Qwen
18,1.5566648174783377,0.5208231071862259,1.0358417102921118,Qwen
19,1.5604514416774227,0.5400965018139086,1.020354939863514,Qwen
20,1.6448415950556197,0.4766281431966831,1.1682134518589367,Qwen
21,1.731245643447179,0.45529009387737174,1.2759555495698072,Qwen
22,1.7164427382797485,0.4474564713721033,1.2689862669076453,Qwen
23,1.9993522102398127,0.3019163188754361,1.6974358913643766,Qwen
