model,layer,proj,topk,num_experts,shared_source,overlap,overlap_percent,max_count,nonzero_channels
OLMoE,0,up_proj,64,64,act_scale_gate,0.796875,79.688,64,167
OLMoE,1,up_proj,64,64,act_scale_gate,0.718750,71.875,64,349
OLMoE,2,up_proj,64,64,act_scale_gate,0.703125,70.312,64,386
OLMoE,3,up_proj,64,64,act_scale_gate,0.875000,87.500,64,232
OLMoE,4,up_proj,64,64,act_scale_gate,0.890625,89.062,64,236
OLMoE,5,up_proj,64,64,act_scale_gate,0.890625,89.062,64,218
OLMoE,6,up_proj,64,64,act_scale_gate,0.890625,89.062,64,202
OLMoE,7,up_proj,64,64,act_scale_gate,0.968750,96.875,64,167
OLMoE,8,up_proj,64,64,act_scale_gate,0.890625,89.062,64,122
OLMoE,9,up_proj,64,64,act_scale_gate,0.843750,84.375,64,108
OLMoE,10,up_proj,64,64,act_scale_gate,0.921875,92.188,64,112
OLMoE,11,up_proj,64,64,act_scale_gate,0.937500,93.750,64,112
OLMoE,12,up_proj,64,64,act_scale_gate,0.953125,95.312,64,113
OLMoE,13,up_proj,64,64,act_scale_gate,0.937500,93.750,64,110
OLMoE,14,up_proj,64,64,act_scale_gate,0.906250,90.625,64,105
OLMoE,15,up_proj,64,64,act_scale_gate,0.921875,92.188,64,187
Qwen,0,up_proj,64,60,act_scale_gate,0.859375,85.938,60,229
Qwen,1,up_proj,64,60,act_scale_gate,0.515625,51.562,60,668
Qwen,2,up_proj,64,60,act_scale_gate,0.671875,67.188,60,539
Qwen,3,up_proj,64,60,act_scale_gate,0.796875,79.688,60,479
Qwen,4,up_proj,64,60,act_scale_gate,0.796875,79.688,60,487
Qwen,5,up_proj,64,60,act_scale_gate,0.765625,76.562,60,539
Qwen,6,up_proj,64,60,act_scale_gate,0.843750,84.375,60,412
Qwen,7,up_proj,64,60,act_scale_gate,0.875000,87.500,60,439
Qwen,8,up_proj,64,60,act_scale_gate,0.796875,79.688,60,437
Qwen,9,up_proj,64,60,act_scale_gate,0.812500,81.250,60,467
Qwen,10,up_proj,64,60,act_scale_gate,0.812500,81.250,60,395
Qwen,11,up_proj,64,60,act_scale_gate,0.859375,85.938,60,318
Qwen,12,up_proj,64,60,act_scale_gate,0.859375,85.938,60,307
Qwen,13,up_proj,64,60,act_scale_gate,0.968750,96.875,60,236
Qwen,14,up_proj,64,60,act_scale_gate,0.968750,96.875,60,190
Qwen,15,up_proj,64,60,act_scale_gate,0.984375,98.438,60,195
Qwen,16,up_proj,64,60,act_scale_gate,0.921875,92.188,60,193
Qwen,17,up_proj,64,60,act_scale_gate,0.875000,87.500,60,250
Qwen,18,up_proj,64,60,act_scale_gate,0.828125,82.812,60,271
Qwen,19,up_proj,64,60,act_scale_gate,0.843750,84.375,60,290
Qwen,20,up_proj,64,60,act_scale_gate,0.828125,82.812,60,349
Qwen,21,up_proj,64,60,act_scale_gate,0.812500,81.250,60,363
Qwen,22,up_proj,64,60,act_scale_gate,0.859375,85.938,60,315
Qwen,23,up_proj,64,60,act_scale_gate,0.921875,92.188,60,201
