expert,abits,wbits,quantization,selection_score,route_mass_fraction,num_projection_records
0,4,4,w4g-1-a4g-1,7.2386863837359305,0.005794976603835386,3
1,8,5,w5g-1-a8g-1,18.35141800365659,0.011887607619698875,3
2,8,5,w5g-1-a8g-1,25.732645362999463,0.014724925265786157,3
3,8,5,w5g-1-a8g-1,20.162575587374715,0.010804496691321136,3
4,8,5,w5g-1-a8g-1,17.05068458756524,0.012498861185041057,3
5,8,5,w5g-1-a8g-1,31.61645241910605,0.02059367238435138,3
6,8,5,w5g-1-a8g-1,21.93648139240148,0.011412086918469252,3
7,8,5,w5g-1-a8g-1,18.705420699811572,0.013411174433821617,3
8,8,5,w5g-1-a8g-1,24.609973518302077,0.01316275543499885,3
9,4,4,w4g-1-a4g-1,14.515610733502935,0.012562339404310112,3
10,8,5,w5g-1-a8g-1,30.968162152766308,0.017829135070162337,3
11,4,4,w4g-1-a4g-1,9.282211473401247,0.006620502816682395,3
12,8,5,w5g-1-a8g-1,30.36182988821816,0.026934456330931708,3
13,8,6,w6g-1-a8g-1,34.043989730526604,0.023605922388299234,3
14,8,5,w5g-1-a8g-1,24.030855719144757,0.014116246795657745,3
15,4,4,w4g-1-a4g-1,15.875079766720116,0.009705447695922761,3
16,8,5,w5g-1-a8g-1,25.99880426084109,0.016922301828131887,3
17,8,6,w6g-1-a8g-1,36.75316492317103,0.027154363966473558,3
18,8,5,w5g-1-a8g-1,30.540365855366446,0.021713176558945096,3
19,8,6,w6g-1-a8g-1,35.09011903040082,0.02409116939342135,3
20,4,4,w4g-1-a4g-1,14.226081593630798,0.011018232837009529,3
21,4,4,w4g-1-a4g-1,0.9724739337220878,0.0006844391744381626,3
22,8,6,w6g-1-a8g-1,32.68692693907577,0.0210340877398214,3
23,4,4,w4g-1-a4g-1,1.1879933051410265,0.0009405561743155584,3
24,8,5,w5g-1-a8g-1,17.4464764283093,0.012288461254415175,3
25,8,5,w5g-1-a8g-1,28.472775097240678,0.017074528677850965,3
26,8,6,w6g-1-a8g-1,32.258001196280254,0.02101597544908451,3
27,4,4,w4g-1-a4g-1,15.644624152154936,0.009706641887118539,3
28,4,4,w4g-1-a4g-1,14.701523688217708,0.011388566392864702,3
29,8,6,w6g-1-a8g-1,32.39664433122279,0.020141755026741818,3
30,8,5,w5g-1-a8g-1,30.744138254858008,0.019869498716658374,3
31,8,5,w5g-1-a8g-1,22.199219740531,0.013750939487939828,3
32,8,5,w5g-1-a8g-1,24.87220350600787,0.012095041766854138,3
33,8,5,w5g-1-a8g-1,24.782209750718543,0.01788256252641517,3
34,4,4,w4g-1-a4g-1,10.706699528445116,0.00768087908620276,3
35,8,5,w5g-1-a8g-1,19.66302541011643,0.012667331429511621,3
36,8,5,w5g-1-a8g-1,20.549980305410664,0.011465471571098175,3
37,8,5,w5g-1-a8g-1,22.64654626945163,0.013585750559063928,3
38,8,6,w6g-1-a8g-1,53.54496277711496,0.02702690946634775,3
39,4,4,w4g-1-a4g-1,10.558346471315952,0.007137640677234913,3
40,8,5,w5g-1-a8g-1,22.912713692767866,0.014726264955155636,3
41,8,6,w6g-1-a8g-1,58.858804534702244,0.05997291025655794,3
42,8,5,w5g-1-a8g-1,24.41117810721141,0.01513301120731002,3
43,4,4,w4g-1-a4g-1,11.220302525905835,0.007088226930431563,3
44,8,5,w5g-1-a8g-1,25.044433300484304,0.01689078933541449,3
45,8,5,w5g-1-a8g-1,29.044726567405654,0.017895787652997406,3
46,8,6,w6g-1-a8g-1,38.58181882387078,0.026136871012109344,3
47,8,5,w5g-1-a8g-1,22.260511871794677,0.012907523604060563,3
48,8,5,w5g-1-a8g-1,18.781674506389503,0.01263737091258115,3
49,8,5,w5g-1-a8g-1,25.226585972087822,0.016846725288927385,3
50,8,5,w5g-1-a8g-1,21.867973478997833,0.014198374645204659,3
51,8,5,w5g-1-a8g-1,18.81410716476614,0.01662379987552836,3
52,4,4,w4g-1-a4g-1,7.5223692099882244,0.005048964664901068,3
53,8,6,w6g-1-a8g-1,45.83306036585971,0.025797049767911848,3
54,8,6,w6g-1-a8g-1,46.220932884615415,0.029806598597951466,3
55,8,5,w5g-1-a8g-1,25.329672818207563,0.01619221400262155,3
56,8,5,w5g-1-a8g-1,20.16877690440571,0.01302417549848088,3
57,8,5,w5g-1-a8g-1,29.74651189659852,0.0182483636526318,3
58,4,4,w4g-1-a4g-1,15.581022722823594,0.015455302672768581,3
59,8,5,w5g-1-a8g-1,30.624774609464833,0.019820916166790555,3
60,8,5,w5g-1-a8g-1,23.16058510752331,0.015549777839327553,3
61,8,5,w5g-1-a8g-1,17.290399800575884,0.013165040915080929,3
62,8,5,w5g-1-a8g-1,23.690565742637318,0.011499810207958544,3
63,4,4,w4g-1-a4g-1,2.024653203694485,0.0013332416500478096,3
